fecha,recurso,portada,src,url,description,tags,seccion
2022-04-12T00:00:00Z,Turismo Naturaleza,naturaleza,img/portadas/naturaleza.png,https://tableros.yvera.tur.ar/recursos/biblioteca/perfil_naturaleza.pdf,Documento de Trabajo N°1: Información estadística relacionada con las prácticas turísticas en entornos naturales,Documentos de Trabajo,Biblioteca
2022-02-01T00:00:00Z,Cuenta Satelite - Metodología,cuenta_sat_metodo,img/portadas/cuenta_sat_metodo.png,https://www.yvera.tur.ar/sinta/informe/documentos/descarga/61fad2ebbb2db408458887.pdf,Cuenta satélite de turismo de la Argentina. Metodología de estimación. Año base 2004 y serie 2016 - 2019 a precios constantes (febrero de 2022),Metodología,Biblioteca
2022-02-01T00:00:00Z,Cuenta Satelite - 2004 y 2016-2019,cuenta_sat,img/portadas/cuenta_sat.png,https://www.yvera.tur.ar/sinta/informe/documentos/descarga/61fad7e475abe809073943.pdf,Cuenta satélite de turismo de la Argentina. Medición de la contribución del sector turístico a la economía y sus interrelaciones con el resto de las actividades.  (febrero de 2022),Metodología,Biblioteca
2021-12-01T00:00:00Z,ITCMRT,itcmt,img/portadas/itcmt.png,https://tableros.yvera.tur.ar/recursos/biblioteca/metodologia_itcrmt.pdf,El Índice del Tipo de Cambio Real Multilateral Turístico (ITCRMT) mide el precio relativo de los bienes y servicios de nuestra economía con respecto a los de un grupo de países relevantes en términos de intercambio turístico.,Metodología,Biblioteca
2021-12-01T00:00:00Z,DT6,armo06,img/portadas/armo06.png,https://dnme-minturdep.github.io/DT6_ciencia_de_datos_turismo/,Documento Técnico #6: Herramientas Computacionales para el Análisis de Datos,Metodología,Biblioteca
2021-12-01T00:00:00Z,DT5,armo05,img/portadas/armo05.png,https://dnme-minturdep.github.io/DT5_actividad_empleo/,Documento Técnico #5: Medición de la contribución económica del turismo,Metodología,Biblioteca
2021-12-01T00:00:00Z,DT4,armo04,img/portadas/armo04.png,https://dnme-minturdep.github.io/DT4_perfiles/,Documento Técnico #4: Propuestas Metodológicas para las Encuestas de Perfil del Visitante,Metodología,Biblioteca
2021-12-01T00:00:00Z,DT3,armo03,img/portadas/armo03.png,https://dnme-minturdep.github.io/DT3_registros_adminsitrativos/,"Documento Técnico #3: Descripción, Análisis y Utilización de los Registros Administrativos para la medición del Turismo",Metodología,Biblioteca
2021-12-01T00:00:00Z,DT2,armo02,img/portadas/armo02.png,https://dnme-minturdep.github.io/DT2_encuestas/,Documento Técnico #2: Propuestas metodológicas para las encuestas de ocupación en alojamientos turísticos,Metodología,Biblioteca
2021-12-01T00:00:00Z,DT1,armo01,img/portadas/armo01.png,https://dnme-minturdep.github.io/DT1_medicion_turismo/,Documento Técnico #1: Conceptos y Elementos Básicos para la Medición Provincial de los Turistas,Metodología,Biblioteca
2020-05-01T00:00:00Z,EOH,eoh_metodologico,img/portadas/eoh_metodologico.png,https://www.yvera.tur.ar/sinta/informe/documentos/descarga/60c8a5294550f707538011.pdf,Encuesta de Ocupación Hotelera - EOH - Aspectos Metodológicos (mayo de 2020),Metodología,Biblioteca
2019-10-01T00:00:00Z,Turismo Internacional,metodologia_estimacion_tur,img/portadas/metodologia_estimacion_tur.png,https://www.yvera.tur.ar/sinta/informe/documentos/descarga/5dc0460bcfa3e053142696.pdf,"Estimación del Turismo Internacional de Argentina para todas las vías de acceso - terrestre, fluviales marítimos y aéreos (octubre de 2019).",Metodología,Biblioteca
2018-04-01T00:00:00Z,ETI,eti_indec,img/portadas/eti_indec.png,https://www.yvera.tur.ar/sinta/informe/documentos/descarga/5d5c00efe6866641938689.pdf,Encuesta de Turismo Internacional - ETI (abril de 2018),Metodología,Biblioteca
2016-01-01T00:00:00Z,Anuario 2015,aet_2015,img/portadas/aet_2015.png,https://tableros.yvera.tur.ar/recursos/biblioteca/anuario-2015.pdf,Anuario de Estadísticas de Turismo 2015,Anuario Estadístico,Biblioteca
2015-01-01T00:00:00Z,Anuario 2014,aet_2014,img/portadas/aet_2014.png,https://tableros.yvera.tur.ar/recursos/biblioteca/anuario-2014.pdf,Anuario de Estadísticas de Turismo 2014,Anuario Estadístico,Biblioteca
2014-01-01T00:00:00Z,Anuario 2013,aet_2013,img/portadas/aet_2013.png,https://tableros.yvera.tur.ar/recursos/biblioteca/anuario-2013.pdf,Anuario de Estadísticas de Turismo 2013,Anuario Estadístico,Biblioteca
2013-01-01T00:00:00Z,Anuario 2012,aet_2012,img/portadas/aet_2012.png,https://tableros.yvera.tur.ar/recursos/biblioteca/anuario-2012.pdf,Anuario de Estadísticas de Turismo 2012,Anuario Estadístico,Biblioteca
2012-01-01T00:00:00Z,Anuario 2011,aet_2011,img/portadas/aet_2011.png,https://tableros.yvera.tur.ar/recursos/biblioteca/anuario-2011.pdf,Anuario de Estadísticas de Turismo 2011,Anuario Estadístico,Biblioteca
2011-01-01T00:00:00Z,Anuario 2010,aet_2010,img/portadas/aet_2010.png,https://tableros.yvera.tur.ar/recursos/biblioteca/anuario-2010.pdf,Anuario de Estadísticas de Turismo 2010,Anuario Estadístico,Biblioteca
2010-01-01T00:00:00Z,Anuario 2009,aet_2009,img/portadas/aet_2009.png,https://tableros.yvera.tur.ar/recursos/biblioteca/anuario-2009.pdf,Anuario de Estadísticas de Turismo 2009,Anuario Estadístico,Biblioteca
2009-01-01T00:00:00Z,Anuario 2008,aet_2008,img/portadas/aet_2008.png,https://tableros.yvera.tur.ar/recursos/biblioteca/anuario-2008.pdf,Anuario de Estadísticas de Turismo 2008,Anuario Estadístico,Biblioteca
2008-01-01T00:00:00Z,Anuario 2007,aet_2007,img/portadas/aet_2007.png,https://tableros.yvera.tur.ar/recursos/biblioteca/anuario-2007.pdf,Anuario de Estadísticas de Turismo 2007,Anuario Estadístico,Biblioteca
2007-01-01T00:00:00Z,Anuario 2006,aet_2006,img/portadas/aet_2006.png,https://tableros.yvera.tur.ar/recursos/biblioteca/anuario-2006.pdf,Anuario de Estadísticas de Turismo 2006,Anuario Estadístico,Biblioteca
